Datetime,close,BB_Upper,BB_Lower,SMA5,SMA_9,SMA_20,SMA34,SMA_50,SMA_100,MACD,AO,RSI,IFT_RSI,SAR,ROC,high,low
2024-05-31 09:30:00,524.62,,,,,,,,,0.0,,,,522.73,,524.81,523.36
2024-05-31 09:45:00,523.15,,,,,,,,,-0.03,,0.0,,522.77,,524.7,522.94
2024-05-31 10:00:00,521.97,,,,,,,,,-0.08,,0.0,,524.81,,523.21,521.89
2024-05-31 10:15:00,521.1,,,,,,,,,-0.13,,0.0,,524.81,,522.12,520.86
2024-05-31 10:30:00,520.47,,,522.26,,,,,,-0.18,,0.0,,524.65,,521.1,520.32
2024-05-31 10:45:00,520.87,,,521.51,,,,,,-0.19,,10.6,,524.39,,521.15,520.23
2024-05-31 11:00:00,520.54,,,520.99,,,,,,-0.21,,9.69,,524.06,,520.94,520.13
2024-05-31 11:15:00,520.15,,,520.63,,,,,,-0.23,,8.73,,523.67,,520.67,520.03
2024-05-31 11:30:00,519.92,,,520.39,521.42,,,,,-0.26,,8.22,,523.23,,520.24,519.62
2024-05-31 11:45:00,519.69,522.5,519.99,520.23,520.87,,,,,-0.29,,7.73,0.89,522.72,,520.16,519.58
2024-05-31 12:00:00,519.05,521.64,519.75,519.87,520.42,,,,,-0.34,,6.55,0.89,522.22,,519.79,519.05
2024-05-31 12:15:00,518.81,521.02,519.5,519.52,520.07,,,,,-0.38,,6.17,0.89,521.65,,519.13,518.36
2024-05-31 12:30:00,519.33,520.61,519.37,519.36,519.87,,,,,-0.38,,17.31,0.87,520.99,-1.01,519.46,518.72
2024-05-31 12:45:00,519.53,520.38,519.3,519.28,519.77,,,,,-0.36,,21.2,0.83,520.47,-0.69,519.56,519.02
2024-05-31 13:00:00,520.29,520.35,519.29,519.4,519.7,,,,,-0.3,,33.89,0.71,520.35,-0.32,520.35,519.52
2024-05-31 13:15:00,520.82,520.33,519.29,519.75,519.73,,,,,-0.22,,40.96,0.36,518.36,-0.05,520.93,520.27
2024-05-31 13:30:00,520.74,520.38,519.29,520.14,519.8,,,,,-0.15,,40.34,-0.38,518.36,0.05,521.02,520.45
2024-05-31 13:45:00,520.85,520.5,519.31,520.45,519.9,,,,,-0.1,,41.77,-1.0,518.47,-0.0,521.04,520.52
2024-05-31 14:00:00,520.95,520.66,519.35,520.73,520.04,,,,,-0.05,,43.16,-0.39,518.62,0.08,521.25,520.58
2024-05-31 14:15:00,520.78,520.79,519.44,520.83,520.23,520.68,,,,-0.02,,41.35,-0.02,518.83,0.12,521.29,520.74
2024-05-31 14:30:00,521.7,521.09,519.67,521.01,520.55,520.54,,,,0.06,,52.89,0.41,519.08,0.34,521.75,520.59
2024-05-31 14:45:00,521.47,521.25,520.04,521.15,520.79,520.45,,,,0.11,,50.2,0.5,519.4,0.34,521.8,520.87
2024-05-31 15:00:00,522.14,521.51,520.34,521.41,521.08,520.46,,,,0.19,,56.97,0.61,519.73,0.6,522.22,521.03
2024-05-31 15:15:00,522.25,521.72,520.68,521.67,521.3,520.52,,,,0.26,,57.98,0.68,520.13,0.66,522.75,521.89
2024-05-31 15:30:00,523.81,522.33,520.77,522.27,521.63,520.68,,,,0.42,,69.07,0.76,520.6,0.86,523.92,522.0
2024-05-31 15:45:00,527.35,523.84,520.57,523.4,522.37,521.01,,,,0.79,,81.19,0.82,521.27,1.51,527.5,523.74
2024-06-03 09:30:00,528.67,525.24,520.75,524.84,523.24,521.42,,,,1.16,,83.75,0.85,522.51,1.61,529.16,528.58
2024-06-03 09:45:00,527.91,526.17,521.24,526.0,524.01,521.8,,,,1.38,,77.24,0.86,523.84,1.36,529.02,527.34
2024-06-03 10:00:00,528.21,527.0,521.86,527.19,524.83,522.22,,,,1.56,,77.96,0.86,524.91,1.43,529.31,527.43
2024-06-03 10:15:00,528.17,527.67,522.67,528.06,525.55,522.64,,,,1.68,,77.61,0.86,525.79,1.41,528.5,527.95
2024-06-03 10:30:00,527.6,528.12,523.4,528.11,526.23,523.07,,,,1.71,,72.52,0.84,526.49,1.28,528.0,527.17
2024-06-03 10:45:00,526.06,528.25,524.19,527.59,526.67,523.43,,,,1.6,,60.9,0.75,529.31,1.01,526.63,526.03
2024-06-03 11:00:00,526.08,528.3,524.93,527.22,527.1,523.77,,,,1.5,,60.98,0.58,529.31,0.84,526.22,525.4
2024-06-03 12:00:00,524.46,528.17,525.5,526.47,527.17,524.02,522.63,,,1.28,3.840000000000032,51.0,-0.01,529.15,0.57,526.1,524.34
2024-06-03 12:15:00,523.95,528.16,525.53,525.63,526.79,524.2,522.61,,,1.05,3.019999999999982,48.36,-0.98,528.86,0.35,524.82,523.65
2024-06-03 12:30:00,523.91,528.0,525.01,524.89,526.26,524.35,522.64,,,0.86,2.25,48.14,-0.4,528.45,0.32,524.31,523.34
2024-06-03 12:45:00,523.79,527.51,524.51,524.44,525.8,524.51,522.69,,,0.7,1.75,47.47,0.23,527.94,-0.0,524.28,523.21
2024-06-03 13:00:00,523.22,527.09,524.0,523.86,525.25,524.62,522.75,,,0.52,1.1100000000000136,44.28,0.55,527.37,-0.78,523.9,522.6
2024-06-03 13:15:00,524.65,526.55,523.83,523.9,524.86,524.81,522.87,,,0.48,1.0299999999999727,52.83,0.47,526.7,-0.76,524.69,523.17
2024-06-03 13:30:00,525.38,525.99,523.83,524.19,524.61,525.04,523.01,,,0.49,1.1800000000000637,56.5,0.18,526.13,-0.48,525.55,524.58
2024-06-03 13:45:00,525.19,525.46,523.88,524.45,524.51,525.21,523.14,,,0.49,1.3100000000000591,55.29,-0.22,525.63,-0.57,525.58,524.84
2024-06-03 14:00:00,524.69,525.22,523.85,524.63,524.36,525.37,523.28,,,0.44,1.3500000000000227,52.14,-0.46,522.6,-0.66,525.7,524.67
2024-06-03 14:15:00,525.11,525.0,523.87,525.0,524.43,525.52,523.43,,,0.43,1.57000000000005,54.49,-0.87,522.6,-0.47,525.78,524.68
2024-06-03 14:30:00,525.74,525.21,523.91,525.22,524.63,525.7,523.61,,,0.47,1.6100000000000136,57.83,-0.91,522.73,-0.06,526.14,525.11
2024-06-03 14:45:00,525.75,525.43,524.05,525.3,524.84,525.79,523.8,,,0.49,1.5,57.88,-0.45,522.93,-0.06,525.93,525.29
2024-06-03 15:00:00,525.98,525.66,524.24,525.45,525.08,525.73,524.02,,,0.52,1.4300000000000637,59.17,0.01,523.12,0.29,526.19,525.56
2024-06-03 15:15:00,526.25,525.89,524.5,525.77,525.42,525.6,524.22,,,0.56,1.5499999999999545,60.64,0.31,523.37,0.44,526.5,525.87
2024-06-03 15:30:00,525.95,525.91,525.03,525.93,525.56,525.51,524.41,,,0.56,1.5199999999999818,58.09,0.33,523.68,0.39,526.48,525.73
2024-06-03 15:45:00,527.76,526.45,525.11,526.34,525.82,525.48,524.63,,,0.7,1.7100000000000364,67.08,0.54,523.96,0.76,527.82,525.9
2024-06-04 09:30:00,526.41,526.56,525.2,526.47,525.96,525.4,524.79,523.46,,0.69,1.6800000000000637,57.22,0.45,524.43,0.61,526.78,525.77
2024-06-04 09:45:00,526.49,526.68,525.35,526.57,526.16,525.34,524.96,523.5,,0.68,1.6100000000000136,57.62,0.37,524.83,0.35,526.79,525.97
2024-06-04 10:00:00,526.03,526.7,525.6,526.53,526.26,525.34,525.11,523.56,,0.63,1.419999999999959,54.45,0.12,525.19,0.12,527.75,525.74
2024-06-04 10:15:00,527.0,526.84,525.83,526.74,526.4,525.39,525.29,523.66,,0.66,1.4500000000000455,59.48,0.09,525.51,0.34,527.0,525.92
2024-06-04 10:30:00,527.19,527.0,525.97,526.62,526.56,525.52,525.48,523.78,,0.69,1.1399999999999864,60.4,0.11,525.79,0.48,527.4,526.29
